序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）",if_token,预期返回包含的内容
38,删除组织名片信息模板字段-缺少fieldId,org/deleteMemCardField,http://172.28.6.113:8080/org/deleteMemCardField,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""fieldId"":""""}",yes,"""code"":""4001"""
39,删除组织名片信息模板字段-缺少feedId?,org/deleteMemCardField,http://172.28.6.113:8080/org/deleteMemCardField,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":"""",""fieldId"":""323201""}",yes,"""code"":""4001"""
40,更新组织名片信息模板字段,org/updateMemCardField,http://172.28.6.113:8080/org/updateMemCardField,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""fieldId"":""323204"",""displayName"":""haoyx论文数量-新""}",yes,"""result"":""success"""
41,更新组织名片信息模板字段-fieldId为空,org/updateMemCardField,http://172.28.6.113:8080/org/updateMemCardField,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""fieldId"":""""}",yes,"""code"":""4001"""
42,更新组织名片信息模板字段-feedId为空,org/updateMemCardField,http://172.28.6.113:8080/org/updateMemCardField,863637027549372,android,19,3.0,13581535754,"{""feedId"":"""",""fieldId"":""323204"",""displayName"":""haoyx论文数量-新""}",yes,"""code"":""4002"
43,查询企业通讯录(管理员或者拥有者) ,org/obtainContactsByAdmin,http://172.28.6.113:8080/org/obtainContactsByAdmin,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506""}",yes,"""result"":""success"",""data"":[{""staffFeedId"".*""orgFeedId"":""o_336506"".*"
44,查询企业通讯录(管理员或者拥有者) -orgFeedId为空,org/obtainContactsByAdmin,http://172.28.6.113:8080/org/obtainContactsByAdmin,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""""}",yes,"""code"":""4002"""
45,查询企业通讯录（员工）,org/obtainContactsByMember,http://172.28.6.113:8080/org/obtainContactsByMember,863637027549372,iOS,8.2,3.0,13581535754,"{""staffFeedId"":""s_336663"",""orgFeedId"":""o_336506""}",yes,"""staffFeedId"":""s_336663"",""cardNumber"":""126955"",""orgFeedId"":""o_336506"""
46,查询企业通讯录（员工）-staffFeedId为空,org/obtainContactsByMember,http://172.28.6.113:8080/org/obtainContactsByMember,863637027549372,android,19,3.0,13581535754,"{""staffFeedId"":"""",""orgFeedId"":""o_336506""}",yes,"""code"":""4002"""
47,查询企业通讯录（员工）-orgFeedId为空,org/obtainContactsByMember,http://172.28.6.113:8080/org/obtainContactsByMember,863637027549372,iOS,8.2,3.0,13581535754,"{""staffFeedId"":""s_336663"",""orgFeedId"":""""}",yes,"""code"":""4002"""
48,通过组织名片id查询客户资源,org/obtainCustomers,http://172.28.6.113:8080/org/obtainCustomers,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506""}",yes,"""result"":""success"""
49,通过组织名片id查询客户资源-orgFeedId值为空,org/obtainCustomers,http://172.28.6.113:8080/org/obtainCustomers,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":""""}",yes,"""code"":""4002"""
50,员工查看企业共享的客户资源,org/obtainShareCustomers,http://172.28.6.113:8080/org/obtainShareCustomers,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""staffFeedId"":""s_336663""}",yes,"""result"":""success"""
51,员工查看企业共享的客户资源-orgFeedId为空,org/obtainShareCustomers,http://172.28.6.113:8080/org/obtainShareCustomers,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":"""",""staffFeedId"":""s_336663""}",yes,"""code"":""4002"""
52,员工查看企业共享的客户资源-staffFeedId为空,org/obtainShareCustomers,http://172.28.6.113:8080/org/obtainShareCustomers,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""staffFeedId"":""""}",yes,"""code"":""4002"""
53,创建员工接口,org/createStaff,http://172.28.6.113:8080/org/createStaff,863637027549372,android,19,3.0,13581535754,"{""name"":""陈天"",""orgFeedId"":""o_336506"",""position"":""java工程师""}",yes,"""result"":""success"".*""orgName"":""Haoyx有限公司"",""name"":""陈天"",""position"":""java工程师"""
54,创建员工接口-name为空,org/createStaff,http://172.28.6.113:8080/org/createStaff,863637027549372,android,19,3.0,13581535754,"{""name"":"""",""orgFeedId"":""o_336506"",""position"":""java工程师""}",yes,"""code"":""4002"""
55,创建员工接口-orgFeedId为空,org/createStaff,http://172.28.6.113:8080/org/createStaff,863637027549372,android,19,3.0,13581535754,"{""name"":""陈天"",""orgFeedId"":"""",""position"":""java工程师""}",yes,"""code"":""4001"""
56,员工面查询接口-自己（使用面）,org/staffFrame,http://172.28.6.113:8080/org/staffFrame,863637027549372,android,19,3.0,13581535754,"{""toFeedId"":""s_336641"",""aspectType"":""3""}",yes,"""result"":""success"".*""title"":""二维码"".*""title"":""组织通讯录"""
57,员工面查询接口-匿名,org/staffFrame,http://172.28.6.113:8080/org/staffFrame,863637027549372,iOS,8.2,3.0,13581535754,"{""toFeedId"":""s_336641"",""aspectType"":""1""}",yes,"""result"":""success"".*""title"":""交换名片"""
58,员工面查询接口-好友（授权面）,org/staffFrame,http://172.28.6.113:8080/org/staffFrame,863637027549372,android,19,3.0,13581535754,"{""toFeedId"":""s_336641"",""aspectType"":""2""}",yes,"""result"":""success"".*""title"":""Haoyx"".*""title"":""沟通"""
59,更新组织员工名片接口,org/updateStaff,http://172.28.6.113:8080/org/updateStaff,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":""o_336506"",""position"":""高级Java架构师"",""staffFeedId"":""s_336663""}",yes,"""result"":""success"""
60,更新组织员工名片接口,org/updateStaff,http://172.28.6.113:8080/org/updateStaff,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""staffFeedId"":""s_336647"",""vcard"":""[{""feedId"":""o_336506"",""status"":""1"",""fieldValue"":""Young@163.com"",""fieldType"":""2"",""selectedStatus"":""1"",""displayOrder"":""4"",""fromWhere"":""0"",""viewType"":""11"",""fieldId"":""4"",""displayName"":""邮箱""}]""}",yes,"""result"":""success"""
61,更新组织员工名片接口-orgFeedId为空,org/updateStaff,http://172.28.6.113:8080/org/updateStaff,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":"""",""position"":""高级Java架构师"",""staffFeedId"":""s_336663""}",yes,"""code"":""4001"""
62,更新组织员工名片接口-staffFeedId为空,org/updateStaff,http://172.28.6.113:8080/org/updateStaff,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""position"":""高级Java架构师"",""staffFeedId"":""""}",yes,"""code"":""4001"""
63,获取组织员工名片-刘强,org/obtainStaff,http://172.28.6.113:8080/org/obtainStaff,863637027549372,iOS,8.2,3.0,13581535754,"{""staffFeedId"":""s_336663""}",yes,"""result"":""success"".*""staffFeedId"":""s_336663"".*""feedId"":""o_336506"""
64,获取组织员工名片-Haoyx,org/obtainStaff,http://172.28.6.113:8080/org/obtainStaff,863637027549372,android,19,3.0,13581535754,"{""staffFeedId"":""s_336641""}",yes,"""result"":""success"".*""staffFeedId"":""s_336641"".*""name"":""Haoyx"".*"
65,获取组织员工名片-staffFeedId为空,org/obtainStaff,http://172.28.6.113:8080/org/obtainStaff,863637027549372,iOS,8.2,3.0,13581535754,"{""staffFeedId"":""""}",yes,"""code"":""4001"""
66,通过userid获取组织，员工名片列表,org/obtainOrgAndStaffCardByUserId,http://172.28.6.113:8080/org/obtainOrgAndStaffCardByUserId,863637027549372,iOS,8.2,3.0,13581535754,{},yes,"""result"":""success"".*""staffFeedId"":""s_336663"".*""feedId"":""o_336506"""
67,添加组织树节点,org/addOrgTreeNode,http://172.28.6.113:8080/org/addOrgTreeNode,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""name"":""行政2部"",""parentId"":""360515""}",yes,"""result"":""success"".*""name"":""行政2部"""
68,添加组织树节点-parentId为空,org/addOrgTreeNode,http://172.28.6.113:8080/org/addOrgTreeNode,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""name"":""行政3部"",""parentId"":""""}",yes,"""code"":""4002"""
69,添加组织树节点-feedId为空,org/addOrgTreeNode,http://172.28.6.113:8080/org/addOrgTreeNode,863637027549372,android,19,3.0,13581535754,"{""feedId"":"""",""name"":""行政2部"",""parentId"":""360515""}",yes,"""code"":""4002"""
70,添加组织树节点-name为空,org/addOrgTreeNode,http://172.28.6.113:8080/org/addOrgTreeNode,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""name"":"""",""parentId"":""360515""}",yes,"""code"":""4002"""
71,通过id查询树节点信息-2级别,org/getOrgTreeNodeById,http://172.28.6.113:8080/org/getOrgTreeNodeById,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""name"":""行政部"",""parentId"":""360515"",""dimensionId"":0,""nodeId"":360536}",yes,"""result"":""success"".*""name"":""行政部"""
72,通过id查询树节点信息-1级别,org/getOrgTreeNodeById,http://172.28.6.113:8080/org/getOrgTreeNodeById,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""parentId"":""0"",""dimensionId"":0,""nodeId"":360515}",yes,"""result"":""success"".*""name"":""人事部"""
73,通过id查询树节点信息-nodeId为空,org/getOrgTreeNodeById,http://172.28.6.113:8080/org/getOrgTreeNodeById,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""parentId"":""0"",""dimensionId"":0,""nodeId"":""""}",yes,"""code"":""4002"""
74,更新树节点信息,org/updateOrgTreeNode,http://172.28.6.113:8080/org/updateOrgTreeNode,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""name"":""行政2部"",""parentId"":""360515"",""dimensionId"":0,""nodeId"":360537}",yes,"""result"":""success"".*""name"":""行政部"""
75,更新树节点信息-名称重复,org/updateOrgTreeNode,http://172.28.6.113:8080/org/updateOrgTreeNode,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""name"":""财务部"",""parentId"":""360515"",""dimensionId"":0,""nodeId"":360537}",yes,"""code"":""4005"""
76,删除树节点信息,org/deleteOrgTreeNode,http://172.28.6.113:8080/org/deleteOrgTreeNode,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""parentId"":""360515"",""dimensionId"":0,""nodeId"":360549}",yes,"""result"":""success"""
77,删除树节点信息-nodeId为空,org/deleteOrgTreeNode,http://172.28.6.113:8080/org/deleteOrgTreeNode,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""parentId"":""360515"",""dimensionId"":0,""nodeId"":""""}",yes,"""code"":""4002"""
78,验证一级组织树名称不能重复-已经存在的名字,org/validateOrgTreeNodeName,http://172.28.6.113:8080/org/validateOrgTreeNodeName,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""name"":""人事部"",""parentId"":""0""}",yes,"""code"":""4005"""
79,验证二级组织-已经存在的名字,org/validateOrgTreeNodeName,http://172.28.6.113:8080/org/validateOrgTreeNodeName,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""name"":""行政部"",""parentId"":""360515""}",yes,"""code"":""4005"""
80,验证一级组织树名称不能重复-没有重复的名字,org/validateOrgTreeNodeName,http://172.28.6.113:8080/org/validateOrgTreeNodeName,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506"",""name"":""总裁办"",""parentId"":""0""}",yes,"""result"":""success"""
81,批量获取组织树节点信息 objId组织id-1个部门查询,org/getOrgTreeNodesByIdList,http://172.28.6.113:8080/org/getOrgTreeNodesByIdList,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""nodeIdList"":[360515]}",yes,"""nodeId"":""360515"",""feedId"":""o_336506"",""dimensionId"":""0"",""parentId"":""0"",""name"":""人事部"""
82,批量获取组织树节点信息 objId组织id-1个部门查询,org/getOrgTreeNodesByIdList,http://172.28.6.113:8080/org/getOrgTreeNodesByIdList,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":""o_336506"",""nodeIdList"":[360514,360536]}",yes,"""nodeId"":""360536"",""feedId"":""o_336506"",""dimensionId"":""0"",""parentId"":""360515"",""name"":""行政部"".*""nodeId"":""360514"",""feedId"":""o_336506"",""dimensionId"":""0"",""parentId"":""0"",""name"":""技术部"""
83,批量获取组织树节点信息 objId组织id-orgFeedId为空,org/getOrgTreeNodesByIdList,http://172.28.6.113:8080/org/getOrgTreeNodesByIdList,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":"""",""nodeIdList"":[360515]}",yes,"""code"":""4002"""
84,批量获取组织树节点信息 objId组织id-nodeIdList为空,org/getOrgTreeNodesByIdList,http://172.28.6.113:8080/org/getOrgTreeNodesByIdList,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":""o_336506"",""nodeIdList"":[]}",yes,"""code"":""4004"""
85,把多个成员添加到组织树节点(部门)-财务部,org/addMembersToNode,http://172.28.6.113:8080/org/addMembersToNode,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""nodeId"":""360516"",""staffFeedIdList"":[""s_337115"",""s_337116""]}",yes,"""result"":""success"""
86,把多个成员添加到组织树节点(部门)-orgFeedId为空,org/addMembersToNode,http://172.28.6.113:8080/org/addMembersToNode,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":"""",""nodeId"":""360516"",""staffFeedIdList"":[""s_337115"",""s_337116""]}",yes,"""code"":""4001"""
87,把多个成员添加到组织树节点(部门)-nodeId为空,org/addMembersToNode,http://172.28.6.113:8080/org/addMembersToNode,863637027549372,android,19,3.0,13581535754,"{""orgFeedId"":""o_336506"",""nodeId"":"""",""staffFeedIdList"":[""s_337115"",""s_337116""]}",yes,"""code"":""4001"""
88,把多个成员添加到组织树节点(部门)-staffFeedIdList为空,org/addMembersToNode,http://172.28.6.113:8080/org/addMembersToNode,863637027549372,iOS,8.2,3.0,13581535754,"{""orgFeedId"":""o_336506"",""nodeId"":""360516"",""staffFeedIdList"":[]}",yes,"""code"":""4001"""
89,生成二维码,org/generateQRCodeByOrg,http://172.28.6.113:8080/org/generateQRCodeByOrg,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""height"":""500"",""width"":""500""}",yes,"""result"":""success"",""data"":{""qrcode"":.*""cardNumber"":""126646"""
90,生成二维码-feedId为空,org/generateQRCodeByOrg,http://172.28.6.113:8080/org/generateQRCodeByOrg,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":"""",""height"":""500"",""width"":""500""}",yes,"""code"":""4001"""
91,生成二维码-height/height为空,org/generateQRCodeByOrg,http://172.28.6.113:8080/org/generateQRCodeByOrg,863637027549372,android,19,3.0,13581535754,"{""feedId"":""o_336506"",""height"":""500"",""width"":""""}",yes,"""code"":""4004"""
92,通过组织id获取当前组织的所有未分配部门的员工名片id列表,org/obtainNoNodeRelationMember,http://172.28.6.113:8080/org/obtainNoNodeRelationMember,863637027549372,iOS,8.2,3.0,13581535754,"{""feedId"":""o_336506""}",yes,"""result"":""success"",""data"":{""qrcode"":.*""cardNumber"":""126646"""
93,通过组织id获取当前组织的所有未分配部门的员工名片id列表-feedId为空,org/obtainNoNodeRelationMember,http://172.28.6.113:8080/org/obtainNoNodeRelationMember,863637027549372,android,19,3.0,13581535754,"{""feedId"":""""}",yes,"""code"":""4001"""
