序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platform
（android/ios）","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）","if_token
(yes/no)",预期返回包含的内容
19,活动-更新活动简介-成功,activity/updateActivityMsg,http://172.28.6.111:8080/activity/updateActivityMsg,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""toFeedId"" : ""a_661"",""des"" : ""testing"",""fromFeedId"" : ""c_336440""}",yes,"""result"":""success"""
20,活动-获取二维码-成功,activity/activityQRCode,http://172.28.6.111:8080/activity/activityQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_660"",  ""width"" : ""180"", ""cardFeedId"" : ""c_336440"",  ""height"" : ""180""}",yes,"""result"":""success"""
21,活动-获取二维码-默认宽高-成功,activity/activityQRCode,http://172.28.6.111:8080/activity/activityQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_660"", ""cardFeedId"" : ""c_336440""}",yes,"""result"":""success"""
22,活动-获取二维码-零宽高-成功,activity/activityQRCode,http://172.28.6.111:8080/activity/activityQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_660"",  ""width"" : ""0"", ""cardFeedId"" : ""c_336440"",  ""height"" : ""0""}",yes,"""result"":""success"""
23,活动-删除活动成员-成功,activity/removeActivityUser,http://172.28.6.111:8080/activity/removeActivityUser,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""cardFeedId"" : ""c_336440"", ""feedId"" : ""a_695""}",yes,"""result"":""success"""
24,活动-删除所有活动成员-成功,activity/removeActivityUser,http://172.28.6.111:8080/activity/removeActivityUser,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_695""}",yes,"""result"":""success"""
25,活动-退出活动-成功,activity/quitActivity,http://172.28.6.111:8080/activity/quitActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_694"",  ""cardFeedId"" : ""c_333523""}",yes,"""result"":""success"""
26,活动-报名-成功,activity/activityUserRegist,http://172.28.6.111:8080/activity/activityUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_417"", ""cardFeedId"" : ""c_333524+rnd"", ""enrollType"" : ""1"", ""registrationItems"" : ""要加入的活动""}",yes,"""result"":""success"""
27,活动-报名-重复报名-失败,activity/activityUserRegist,http://172.28.6.111:8080/activity/activityUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_417"", ""cardFeedId"" : ""c_333524"", ""enrollType"" : ""1"", ""registrationItems"" : ""要加入的活动""}",yes,"""result"":""error"""
28,活动-报名-加入模式1-成功,activity/activityUserRegist,http://172.28.6.111:8080/activity/activityUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_417"", ""cardFeedId"" : ""c_333525+rnd"", ""enrollType"" : ""1"", ""registrationItems"" : ""要加入的活动""}",yes,"""result"":""success"""
29,活动-报名-加入模式1-成功,activity/quitActivity,http://172.28.6.111:8080/activity/activityUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_417"", ""cardFeedId"" : ""c_333525+rnd"", ""enrollType"" : ""2"", ""registrationItems"" : ""要加入的活动""}",yes,"""result"":""success"""
30,活动-报名-加入模式3-成功,activity/quitActivity,http://172.28.6.111:8080/activity/activityUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_417"", ""cardFeedId"" : ""c_333526+rnd"", ""enrollType"" : ""3"", ""registrationItems"" : ""要加入的活动""}",yes,"""result"":""success"""
31,活动-报名-无效活动id-失败,activity/quitActivity,http://172.28.6.111:8080/activity/activityUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_123456417"", ""cardFeedId"" : ""c_333526"", ""enrollType"" : ""3"", ""registrationItems"" : ""要加入的活动""}",yes,"""result"":""error"""
32,活动-报名-报名失败-失败,activity/quitActivity,http://172.28.6.111:8080/activity/activityUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""c_123123123123123123123417"", ""cardFeedId"" : ""c_123336440"", ""registrationItems"" : ""我想要加入活动"", ""enrollType"" : ""1""}",yes,"""code"":""5004"""
33,活动-报名-超过最大人数-失败,activity/quitActivity,http://172.28.6.111:8080/activity/activityUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""c_801"", ""cardFeedId"" : ""c_336440+rnd"", ""registrationItems"" : ""我想要加入活动"", ""enrollType"" : ""1""}",yes,"""code"":""5016"""
34,活动-审核-通过-成功,activity/verifyActivityApply,http://172.28.6.111:8080/activity/verifyActivityApply,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_417"", ""cardFeedId"" : ""c_336440"", ""isDel"" : ""1""}",yes,"""result"":""success"""
35,活动-审核-不通过-成功,activity/verifyActivityApply,http://172.28.6.111:8080/activity/verifyActivityApply,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_417"", ""cardFeedId"" : ""c_336440"", ""isDel"" : ""0""}",yes,"""result"":""success"""
36,活动-审核-无效结果值-成功,activity/verifyActivityApply,http://172.28.6.111:8080/activity/verifyActivityApply,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_417"", ""cardFeedId"" : ""c_336440"", ""isDel"" : ""3""}",yes,"""result"":""success"""
37,活动－邀请成员－成功,activity/activityInviteMember,http://172.28.6.111:8080/activity/activityInviteMember,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""toFeedId"" : ""a_689"", ""fromFeedId"" : ""c_336440"", ""activityMemberFeedId"" : ""c_323327"" }",yes,"""result"":""success"""
38,活动-获取设置-成功,activity/obtainToonActivity,http://172.28.6.111:8080/activity/obtainToonActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""version"" : ""0"", ""feedId"" : ""a_750""}",yes,"""result"":""success"""
39,活动-获取设置-名片id-成功,activity/obtainToonActivity,http://172.28.6.111:8080/activity/obtainToonActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""version"" : ""0"", ""feedId"" : ""a_750"", ""cardFeedId"" : ""c_336428""}",yes,"""result"":""success"""
40,活动-获取设置-无效活动id-成功,activity/obtainToonActivity,http://172.28.6.111:8080/activity/obtainToonActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""version"" : ""0"", ""feedId"" : ""a_123750""}",yes,"""code"":""5018"""
41,活动-删除活动-无效活动id-失败,activity/removeActivity,http://172.28.6.111:8080/activity/obtainToonActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""cardFeedId"" : ""c_336109"", ""feedId"" : ""a_679""}",yes,"""code"":""5018"""
42,活动-获取-背景图-成功,obtainPluginBackground,http://172.28.6.111:8080/activity/obtainPluginBackground,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""type"" : ""2""}",yes,"""result"":""success"""
43,活动-获取-背景图-成功,obtainPluginBackground,http://172.28.6.111:8080/activity/obtainPluginBackground,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""type"" : ""3""}",yes,"""result"":""success"""
44,活动－获取-用户id－成功,activity/obtainActivityUserId,http://172.28.6.111:8080/activity/obtainActivityUserId,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_750""}",yes,"""result"":""success"""
45,活动－获取-无效活动id－失败,activity/obtainActivityUserId,http://172.28.6.111:8080/activity/obtainActivityUserId,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_1123750""}",yes,"""code"":""5004"""
46,活动-获取-参与活动-成功,activity/obtainActivityFeedList,http://172.28.6.111:8080/activity/obtainActivityFeedIdList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""userId"" : ""324527"", ""version"" : ""0""}",yes,"""result"":""success"""
47,活动－获取-活动名单-成功,activity/obtainMemberFeedList,http://172.28.6.111:8080/activity/obtainMemberFeedList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""cardFeedId"" : ""c_336428"", ""feedId"" : ""a_750""}",yes,"""result"":""success"""
48,活动-添加推荐活动-成功,activity/addRecommendActivity,http://172.28.6.111:8080/activity/addRecommendActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{ ""status"" : ""1"", ""recomReason"" : ""测试"", ""toFeedId"" : ""a_746+rnd"", ""recommendType"" : ""2"", ""fromFeedId"" : ""a_75""}",yes,"""result"":""success"""
49,活动-活动重复推荐-失败,activity/addRecommendActivity,http://172.28.6.111:8080/activity/addRecommendActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{ ""status"" : ""1"", ""recomReason"" : ""测试"", ""toFeedId"" : ""a_746"", ""recommendType"" : ""2"", ""fromFeedId"" : ""a_74""}",yes,"""result"":""error"""
50,活动-添加推荐-空推荐原因-成功,activity/addRecommendActivity,http://172.28.6.111:8080/activity/addRecommendActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{ ""status"" : ""1"", ""recomReason"" : """", ""toFeedId"" : ""a_756+rnd"", ""recommendType"" : ""2"", ""fromFeedId"" : ""a_746""}",yes,"""result"":""success"""
51,活动-添加审核通过推荐-成功,activity/addRecommendActivity,http://172.28.6.111:8080/activity/addRecommendActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{ ""status"" : ""2"", ""recomReason"" : """", ""toFeedId"" : ""a_688"", ""recommendType"" : ""2"", ""fromFeedId"" : ""a_284+rnd""}",yes,"""result"":""success"""
52,活动-添加删除状态审核-成功,activity/addRecommendActivity,http://172.28.6.111:8080/activity/addRecommendActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{ ""status"" : ""0"", ""recomReason"" : """", ""toFeedId"" : ""a_688"", ""recommendType"" : ""2"", ""fromFeedId"" : ""a_283+rnd""}",yes,"""result"":""success"""
53,活动-添加审核未通过-成功,activity/addRecommendActivity,http://172.28.6.111:8080/activity/addRecommendActivity,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{ ""status"" : ""3"", ""recomReason"" : """", ""toFeedId"" : ""a_688"", ""recommendType"" : ""2"", ""fromFeedId"" : ""a_285+rnd""}",yes,"""result"":""success"""
54,活动-获取-活动人数-成功,activity/getActivityUserListCounts,http://172.28.6.111:8080/activity/getActivityUserListCounts,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedIdList"" : [""a_179""]}",yes,"""result"":""success"""
55,活动-获取-多组活动人数-成功,activity/getActivityUserListCounts,http://172.28.6.111:8080/activity/getActivityUserListCounts,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedIdList"" : [""a_179"" , ""a_180""]}",yes,"""result"":""success"""
56,活动-获取-公告-成功,activity/obtainActivityAfficheList,http://172.28.6.111:8080/activity/obtainActivityAfficheList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_179""}",yes,"""result"":""success"""
57,活动-获取-活动无公告-成功,activity/getActivityUserListCounts,http://172.28.6.111:8080/activity/getActivityUserListCounts,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedIdList"" : [""a_179""]}",yes,"""result"":""success"""
58,活动-添加公告-成功,activity/addActivityAfficheList,http://172.28.6.111:8080/activity/addActivityAfficheList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""content"" : ""公告"",  ""title"" : ""公告"", ""feedId"" : ""a_1529""}",yes,"""result"":""success"""
59,活动-添加公告-长标题-成功,activity/addActivityAfficheList,http://172.28.6.111:8080/activity/addActivityAfficheList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""content"" : ""公告"",  ""title"" : ""一二三四五六七八九十一二三"", ""feedId"" : ""a_1529""}",yes,"""result"":""success"""
60,活动-添加公告-空标题-成功,activity/addActivityAfficheList,http://172.28.6.111:8080/activity/addActivityAfficheList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""content"" : """",  ""title"" : """", ""feedId"" : ""a_1529""}",yes,"""result"":""success"""
61,活动-获取活动申请-成功,activity/getActivityEnrollType,http://172.28.6.111:8080/activity/getActivityEnrollType,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_750""}",yes,"""result"":""success"""
62,活动-获取活动申请-模式2-成功,activity/getActivityEnrollType,http://172.28.6.111:8080/activity/getActivityEnrollType,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,"{""feedId"" : ""a_751""}",yes,"""result"":""success"""
63,活动-获取活动申请-成功,activity/queryDefaultRecommendActivityList,http://172.28.6.111:8080/activity/queryDefaultRecommendActivityList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.1.1,15300136026,{},yes,"""result"":""success"""
