序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）",if_token,预期返回包含的内容,,
35,添加用户收藏-名片,user/addUserCollect,http://124.251.88.61:18087/user/addUserCollect,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""type"":""1"",""objectId"":""1643""}",yes,"""result"":""success""",,
36,添加用户收藏-群组,user/addUserCollect,http://124.251.88.61:18087/user/addUserCollect,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""type"":""2"",""objectId"":""1643""}",yes,"""result"":""success""",,HTTPs请求
37,添加用户收藏-活动,user/addUserCollect,http://124.251.88.61:18087/user/addUserCollect,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""type"":""3"",""objectId"":""1643""}",yes,"""result"":""success""",,
38,添加用户收藏-内容,user/addUserCollect,http://124.251.88.61:18087/user/addUserCollect,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""type"":""4"",""objectId"":""1643""}",yes,"""result"":""success""",,
39,添加常用咨询,user/addUserCommonInformation,http://124.251.88.61:18087/user/addUserCommonInformation,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""simpleName"":""haoyx_简单名称"",""content"":""haoyx_内容""}",yes,"""result"":""success""",,
40,添加常用咨询-名称为空,user/addUserCommonInformation,http://124.251.88.61:18087/user/addUserCommonInformation,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""simpleName"":"""",""content"":""haoyx_内容""}",yes,"""result"":""success""",,
41,添加常用咨询-内容为空,user/addUserCommonInformation,http://124.251.88.61:18087/user/addUserCommonInformation,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""simpleName"":""haoyx_简单名称3"",""content"":""""}",yes,"""result"":""success""",,
42,添加常用咨询-名称内容为空,user/addUserCommonInformation,http://124.251.88.61:18087/user/addUserCommonInformation,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""simpleName"":"""",""content"":""""}",yes,"""result"":""success""",,
43,添加常用咨询-userid不正确,user/addUserCommonInformation,http://124.251.88.61:18087/user/addUserCommonInformation,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":""1243"",""simpleName"":""haoyx_简单名称"",""content"":""haoyx_内容""}",yes,"""result"":""success""",,
44,添加常用位置-必填参数,user/addUserCommonPosition,http://124.251.88.61:18087/user/addUserCommonPosition,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""name"":""haoyx_地址"",""address"":""思源大厦""}",yes,"""result"":""success""",,
45,添加常用位置-全部参数,user/addUserCommonPosition,http://124.251.88.61:18087/user/addUserCommonPosition,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""name"":""haoyx_地址"",""address"":""思源大厦"",""locationCoordinate"":""40.002164,116.464841"",""screenshotsUrl"":""http://www.sinaimg.cn/dy/slidenews/61_img/2015_33/40602_1251743_974995.jpg""}",yes,"""result"":""success""",,
46,删除用户收藏,user/deleteUserCollect,http://124.251.88.61:18087/user/deleteUserCollect,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""collectId"":""300217""}",yes,"""result"":""success""",,
47,删除用户收藏-没有收藏id,user/deleteUserCollect,http://124.251.88.61:18087/user/deleteUserCollect,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""collectId"":""""}",yes,"""result"":""success""",,
48,删除用户收藏-userid不正确,user/deleteUserCollect,http://124.251.88.61:18087/user/deleteUserCollect,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":""1"",""collectId"":""300219""}",yes,"""result"":""success""",,
49,删除常用咨询,user/deleteUserCommonInformation,http://124.251.88.61:18087/user/deleteUserCommonInformation,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""commonInformationId"":""300300""}",yes,"""result"":""success""",,
50,删除常用咨询-用户userid不正确,user/deleteUserCommonInformation,http://124.251.88.61:18087/user/deleteUserCommonInformation,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":""123"",""commonInformationId"":""300300""}",yes,"""result"":""success""",,
51,删除常用咨询-commonInformationId不正确,user/deleteUserCommonInformation,http://124.251.88.61:18087/user/deleteUserCommonInformation,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""commonInformationId"":""134132412}",yes,"""result"":""error""",,
52,删除常用位置,user/deleteUserCommonPosition,http://124.251.88.61:18087/user/deleteUserCommonPosition,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""commonLocationId"":""300300""}",yes,"""result"":""success""",,
53,删除常用位置-用户userid不正确,user/deleteUserCommonPosition,http://124.251.88.61:18087/user/deleteUserCommonPosition,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":""1233214"",""commonLocationId"":""300300""}",yes,"""result"":""error""",,
54,"删除常用位置-commonLocationId""不正确",user/deleteUserCommonPosition,http://124.251.88.61:18087/user/deleteUserCommonPosition,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""commonLocationId"":""300300000""}",yes,"""result"":""success""",,
55,获取用户收藏列表,user/obtainAllUserCollects,http://124.251.88.61:18087/user/obtainAllUserCollects,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""updateTime"":""1439445909330""}",yes,"""result"":""success""",,
56,获取用户收藏列表,user/obtainAllUserCollects,http://124.251.88.61:18087/user/obtainAllUserCollects,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""updateTime"":""1439445909330"",""type"":""1""}",yes,"""result"":""success""",,
57,获取用户常用咨询,user/obtainAllUserCommonInformationsList,http://124.251.88.61:18087/user/obtainAllUserCommonInformationsList,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""editTime"":""1439435183494""}",yes,"""simpleName"":",,
58,获取用户常用咨询,user/obtainAllUserCommonInformationsList,http://124.251.88.61:18087/user/obtainAllUserCommonInformationsList,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""editTime"":""1439435251294""}",yes,"""simpleName"":",,
59,获取用户常用咨询-userid不正确,user/obtainAllUserCommonInformationsList,http://124.251.88.61:18087/user/obtainAllUserCommonInformationsList,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":""12389099087"",""editTime"":""1439435251294""}",yes,"""result"":""error""",,
60,获取用户常用咨询-editTime为空,user/obtainAllUserCommonInformationsList,http://124.251.88.61:18087/user/obtainAllUserCommonInformationsList,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":""12389099087"",""editTime"":""""}",yes,"""result"":""error""",,
61,获取用户常用位置,user/obtainUserCommonPositionList,http://124.251.88.61:18087/user/obtainUserCommonPositionList,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""editTime"":""1439447199277""}",yes,"{""result"":""success"".*""commonLocationId"".*""code"":""0""",,
62,获取用户常用位置,user/obtainUserCommonPositionList,http://124.251.88.61:18087/user/obtainUserCommonPositionList,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""editTime"":""1439436819055""}",yes,"{""result"":""success"".*""commonLocationId"".*""code"":""0""",,
63,更新常用咨询,user/updateUserCommonInformation,http://124.251.88.61:18087/user/updateUserCommonInformation,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""commonInformationId"":""300301"",""simpleName"":""修改_简单名称"",""content"":""修改简单内容%%%""}",yes,"""result"":""success""",,
64,更新常用咨询-name为空,user/updateUserCommonInformation,http://124.251.88.61:18087/user/updateUserCommonInformation,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""commonInformationId"":""300301"",""simpleName"":"""",""content"":""修改简单内容%%%""}",yes,,,https
65,更新常用位置,user/updateUserCommonPosition,http://124.251.88.61:18087/user/updateUserCommonPosition,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""commonLocationId"":""300301"",""name"":""haoyx_更新位置"",""address"":""思源大厦_更新"",""locationDetail"":""望京思源大厦"",""locationCoordinate"":""116.465986,40.002278"",""screenshotsUrl"":""位置截图地址""}",yes,"""result"":""success""",,
66,更新常用位置-commonLocationId为空,user/updateUserCommonPosition,http://124.251.88.61:18087/user/updateUserCommonPosition,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""commonLocationId"":"""",""name"":""haoyx_更新位置"",""address"":""思源大厦_更新"",""locationDetail"":""望京思源大厦"",""locationCoordinate"":""116.465986,40.002278"",""screenshotsUrl"":""位置截图地址""}",yes,"""result"":""error""",,
67,获取用户级插件,user/obtainUserPluginItemList,http://124.251.88.61:18087/user/obtainUserPluginItemList,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":""""}",yes,"""result"":""success""",,
68,获取用户级展板,user/obtainUserShowPluginItemList,http://124.251.88.61:18087/user/obtainUserShowPluginItemList,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":""""}",yes,"""result"":""success""",,
69,获取用户信息,user/obtainUserInformation,http://124.251.88.61:18087/user/obtainUserInformation,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":""""}",yes,"""result"":""success"",""data"":{""userInfo"":",,
70,获取用户信息-userid不正确,user/obtainUserInformation,http://124.251.88.61:18087/user/obtainUserInformation,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":""123213111""}",yes,"""result"":""error""",,
71,设置用户生日,user/userChangeBirthday,http://124.251.88.61:18087/user/userChangeBirthday,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""birthday"":""19890402""}",yes,"""result"":""success""",,
72,设置用户生日-生日不合法,user/userChangeBirthday,http://124.251.88.61:18087/user/userChangeBirthday,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""birthday"":""1984031422""}",yes,"""code"":""1035""",,
Jan-72,设置用户生日-userid不合法,user/userChangeBirthday,http://124.251.88.61:18087/user/userChangeBirthday,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":""234234241"",""birthday"":""19840314""}",yes,"""code"":""1009""",,
73,校验用户生日-生日正确,user/userCheckBirthday,http://124.251.88.61:18087/user/userCheckBirthday,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""birthday"":""19890402"",""mobile"":""""}",yes,"""result"":""success""",,
74,校验用户生日-生日错误,user/userCheckBirthday,http://124.251.88.61:18087/user/userCheckBirthday,8.63637E+14,android,19,3.1.1,15300136026,"{""birthday"":""19890401"",""mobile"":""""}",yes,"""code"":""1036""",,
75,用户用token校验登录有效性,user/userCheckTokenLogin,http://124.251.88.61:18087/user/userCheckTokenLogin,8.63637E+14,iOS,8.2,3.1.1,15300136026,{},yes,"""result"":""success"".*""code"":""0""",,
76,用户用token校验登录有效性-错误的userid,user/userCheckTokenLogin,http://124.251.88.61:18087/user/userCheckTokenLogin,8.63637E+14,android,19,3.1.1,15300136026,{},yes,"""code"":""808""",,需要重新检查
89,获取安全问题列表,user/getAllSecretQuestions,http://124.251.88.61:18087/user/getAllSecretQuestions,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""updateTime"":""0""}",yes,"""data"":[{""questionId"":""1""",,
90,更新用户设备信息,user/updateUserDevice,http://124.251.88.61:18087/user/updateUserDevice,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":""0"",""deviceToken"":""1234567890""}",yes,"""result"":""success""",,
91,更新用户设备信息,user/updateUserDevice,http://124.251.88.61:18087/user/updateUserDevice,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":""0"",""deviceToken"":""1234567890""}",yes,"""result"":""success""",,
92,验证新手机号是注册过否-已注册过的,user/userCheckBeforeMobileVerfiyCodeSend,http://124.251.88.61:18087/user/userCheckBeforeMobileVerfiyCodeSend,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""mobile"":""""}",yes,"""code"":""1039""",,
93,验证新手机号是注册过否-未注册过的,user/userCheckBeforeMobileVerfiyCodeSend,http://124.251.88.61:18087/user/userCheckBeforeMobileVerfiyCodeSend,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""mobile"":""13133132212""}",yes,"""result"":""success""",,
94,用户按收藏类型获取收藏-名片,user/obtainAllUserCollectsByType,http://124.251.88.61:18087/user/obtainAllUserCollectsByType,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""updateTime"":""1439342560285"",""type"":""1""}",yes,"""result"":""success""",,
95,用户按收藏类型获取收藏-群组,user/obtainAllUserCollectsByType,http://124.251.88.61:18087/user/obtainAllUserCollectsByType,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""updateTime"":""1439451625539"",""type"":""2""}",yes,"""result"":""success""",,
96,用户按收藏类型获取收藏-活动,user/obtainAllUserCollectsByType,http://124.251.88.61:18087/user/obtainAllUserCollectsByType,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""updateTime"":""1439436259479"",""type"":""3""}",yes,"""result"":""success""",,
97,用户按收藏类型获取收藏-内容,user/obtainAllUserCollectsByType,http://124.251.88.61:18087/user/obtainAllUserCollectsByType,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""updateTime"":""1439445909330"",""type"":""4""}",yes,"""result"":""success""",,
98,用户按收藏类型获取收藏-其他,user/obtainAllUserCollectsByType,http://124.251.88.61:18087/user/obtainAllUserCollectsByType,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""updateTime"":""1439445909330"",""type"":""5""}",yes,"""result"":""success""",,
99,用户安全邮箱状态,user/getUserEmailStatus,http://124.251.88.61:18087/user/getUserEmailStatus,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""userId"":"""",""mobile"":""""}",yes,"""result"":""success"".*""emailStatus""",,
100,用户安全邮箱状态,user/getUserEmailStatus,http://124.251.88.61:18087/user/getUserEmailStatus,8.63637E+14,android,19,3.1.1,15300136026,"{""userId"":"""",""mobile"":""""}",yes,"""result"":""success"".*""emailStatus""",,
101,获取用户BBS登录地址,user/getUserBBSUrl,http://124.251.88.61:18087/user/getUserBBSUrl,8.63637E+14,iOS,8.2,3.1.1,15300136026,,yes,http://bbslogin.systoon.com/account,,
102,获取桌面资源-主题,user/getDesktopResList,http://124.251.88.61:18087/user/getDesktopResList,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""resType"":""1"",""updateTime"":""0""}",yes,"""result"":""success"".*""list_tnpDesktopRes""",,
103,获取桌面资源-背景,user/getDesktopResList,http://124.251.88.61:18087/user/getDesktopResList,8.63637E+14,android,19,3.1.1,15300136026,"{""resType"":""2"",""updateTime"":""0""}",yes,"""name"":""PinkMemory"",""title"":""粉色记忆""",,HTTPs
104,获取桌面资源-皮肤,user/getDesktopResList,http://124.251.88.61:18087/user/getDesktopResList,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""resType"":""3"",""updateTime"":""0""}",yes,"""name"":""blue"",""title"":""北欧蓝""",,
105,获取桌面应用-android,user/getDesktopApp,http://124.251.88.61:18087/user/getDesktopApp,8.63637E+14,android,19,3.1.1,15300136026,"{""version"":""0""}",yes,"""result"":""success"",""data"":{""listDesktopApp""",,
106,获取桌面应用-ios,user/getDesktopApp,http://124.251.88.61:18087/user/getDesktopApp,8.63637E+14,iOS,8.2,3.1.1,15300136026,"{""version"":""0""}",yes,"""result"":""success"",""data"":{""listDesktopApp""",,
