序号,标题,接口名称,测试URL,"deviceId
(设备信息：ios=token android=uuid(设备唯一Id)","platform
（android/ios）","platformVersion
(平台版本)","appVersion
（app版本号）",mobile,"bizKey
（业务参数）","if_token
(yes/no)",预期返回包含的内容
11,群组-获取-无效群组-失败,group/obtainGroupSettingsInfo,http://124.251.88.61:18082/group/obtainGroupSettingsInfo,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""version"" : ""0"", ""feedId"" : ""g_123452015""}",yes,"""code"":""13003"""
12,群组-获取-最新时间戳-成功,group/obtainGroupSettingsInfo,http://124.251.88.61:18082/group/obtainGroupSettingsInfo,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""version"" : ""1441163047346"", ""feedId"" : ""g_1937""}",yes,"""result"":""success"""
13,群组-更新-必须参数-成功,group/updateGroup,http://124.251.88.61:18082/group/updateGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""toFeedId"" : ""g_2012"", ""fromFeedId"" : ""c_337291""}",yes,"""result"":""success"""
14,群组-更新-可选参数1-成功,group/updateGroup,http://124.251.88.61:18082/group/updateGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""fromFeedId"" : ""c_337291"", ""broadcastSubCategory"" : ""20206@篮球,20302@电影"", ""toFeedId"" : ""g_2012"", ""broadcastCategory"" : ""202@健康运动,203@影音视听""}",yes,"""result"":""success"""
15,群组-更新-可选参数2-成功,group/updateGroup,http://124.251.88.61:18082/group/updateGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""toFeedId"" : ""g_2012"", ""cardId"" : ""337291"", ""des"" : ""更新1"", ""address"" : ""Beijing"", ""spreadTitle"" : ""更新1"", ""lat"" : ""39"", ""groupId"" : ""2012"", ""isSpecifyLocation"" : ""0"", ""name"" : ""更新1"", ""lng"" : ""116"", ""fromFeedId"" : ""c_337291"", ""enrollType"" : ""1""}",yes,"""result"":""success"""
16,群组-更新-可选参数3-成功,group/updateGroup,http://124.251.88.61:18082/group/updateGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""groupLogo"" : test.jpeg"", ""toFeedId"" : ""g_2012"", ""groupId"" : ""2012"", ""fromFeedId"" : ""c_337291""}",yes,"""result"":""success"""
17,群组-更新-可选参数4-成功,group/updateGroup,http://124.251.88.61:18082/group/updateGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""toFeedId"" : ""g_2012"", ""groupId"" : ""2012"", ""groupBlackImg"" : ""test.jpeg"", ""fromFeedId"" : ""c_337291""}",yes,"""result"":""success"""
18,群组-更新-可选参数5-成功,group/updateGroup,http://124.251.88.61:18082/group/updateGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""enrollType"" : ""0"", ""toFeedId"" : ""g_2012"", ""fromFeedId"" : ""c_337291""}",yes,"""result"":""success"""
19,群组-获取-列表-成功,group/obtainGroupFeedList,http://124.251.88.61:18082/group/obtainGroupFeedList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""version"" : ""0""}",yes,"""result"":""success"""
20,群组-获取-时间戳-成功,group/obtainGroupFeedList,http://124.251.88.61:18082/group/obtainGroupFeedList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""version"" : ""1441177899489""}",yes,"""result"":""success"""
21,群组-获取本人群组成员--成功,group/obtainGroupMember,http://124.251.88.61:18082/group/obtainGroupMember,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""version"" : ""0"", ""feedId"" : ""g_2015""}",yes,"""result"":""success"""
22,群组-获取他人群组成员--成功,group/obtainGroupMember,http://124.251.88.61:18082/group/obtainGroupMember,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""version"" : ""0"", ""feedId"" : ""g_1916""}",yes,"""result"":""success"""
23,他人群组-邀请-成员-成功,group/groupInviteMember,http://124.251.88.61:18082/group/groupInviteMember,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_1916"", ""cardFeedId"" : ""c_336440"", ""userId"" : ""324527"",  ""groupMemberFeedId"" : ""c_323327""}",yes,"""result"":""success"""
24,本地群组-邀请-成员-成功,group/groupInviteMember,http://124.251.88.61:18082/group/groupInviteMember,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_2003"", ""cardFeedId"" : ""c_336440"", ""userId"" : ""324527"", ""groupMemberFeedId"" : ""c_333474""}",yes,"""result"":""success"""
25,群组-生成-二维码-成功,group\groupQRCode,http://124.251.88.61:18082/group/groupQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_2012"", ""width"" : ""180"", ""userId"" : ""324527"", ""cardfeedId"" : ""c_337291"", ""cardType"" : ""1"", ""height"" : ""180""}",yes,"""result"":""success"""
26,群组-生成-默认二维码-成功,group\groupQRCode,http://124.251.88.61:18082/group/groupQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_2012"", ""width"" : ""0"", ""userId"" : ""324527"", ""cardfeedId"" : ""c_337291"", ""cardType"" : ""1"", ""height"" : ""0""}",yes,"""result"":""success"""
27,群组-生成-组织二维码-成功,group\groupQRCode,http://124.251.88.61:18082/group/groupQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_2012"", ""width"" : ""0"", ""userId"" : ""324527"", ""cardfeedId"" : ""c_337291"", ""cardType"" : ""2"", ""height"" : ""0""}",yes,"""result"":""success"""
28,群组-生成-成员二维码-成功,group\groupQRCode,http://124.251.88.61:18082/group/groupQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_2012"", ""width"" : ""0"", ""userId"" : ""324527"", ""cardfeedId"" : ""c_337291"", ""cardType"" : ""3"", ""height"" : ""0""}",yes,"""result"":""success"""
29,群组-首次申请加入-成功,group/groupUserRegist,http://124.251.88.61:18082/group/groupUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_813"", ""applyContent"" : ""我想要加入群组"", ""cardFeedId"" : ""c_337282+rnd"", ""userId"" : ""324527"", ""enrollType"" : ""1""}",yes,"""result"":""success"""
30,群组-重复申请加入-失败,group/groupUserRegist,http://124.251.88.61:18082/group/groupUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_813"", ""applyContent"" : ""我想要加入群组"", ""cardFeedId"" : ""c_337281"", ""userId"" : ""324527"", ""enrollType"" : ""1""}",yes,"""code"":""13006"""
31,群组-首次邀请加入-成功,group/groupUserRegist,http://124.251.88.61:18082/group/groupUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_1022"", ""applyContent"" : ""来来来"", ""cardFeedId"" : ""c_337292+rnd"", ""userId"" : ""324527"", ""enrollType"" : ""2""}",yes,"""result"":""success"""
32,群组-重复邀请加入-失败,group/groupUserRegist,http://124.251.88.61:18082/group/groupUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_1022"", ""applyContent"" : ""来来来"", ""cardFeedId"" : ""c_337292"", ""userId"" : ""324527"", ""enrollType"" : ""2""}",yes,"""code"":""13006"""
33,群组-首次开放加入-成功,group/groupUserRegist,http://124.251.88.61:18082/group/groupUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_1022"", ""applyContent"" : ""来来来"", ""cardFeedId"" : ""c_337293+rnd"", ""userId"" : ""324527"", ""enrollType"" : ""0""}",yes,"""result"":""success"""
34,群组-重复开放加入-失败,group/groupUserRegist,http://124.251.88.61:18082/group/groupUserRegist,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_1022"", ""applyContent"" : ""来来来"", ""cardFeedId"" : ""c_337294"", ""userId"" : ""324527"", ""enrollType"" : ""0""}",yes,"""code"":""13006"""
35,群组-审核-删除0-成功,group/groupUserRegistExamine,http://124.251.88.61:18082/group/groupUserRegistExamine,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""registCardFeedId"" : ""c_337291"", ""feedId"" : ""g_684"", ""isDel"" : ""0""}",yes,"""result"":""success"""
36,群组-审核-删除1-成功,group/groupUserRegistExamine,http://124.251.88.61:18082/group/groupUserRegistExamine,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""registCardFeedId"" : ""c_337291"", ""feedId"" : ""g_684"", ""isDel"" : ""1""}",yes,"""result"":""success"""
37,群组-获取用户id-群组id-成功,group/obtainUserIdByGroupId,http://124.251.88.61:18082/group/obtainUserIdByGroupId,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_1022""}",yes,"""result"":""success"""
38,群组-获取用户id-无效群组id-成功,group/obtainUserIdByGroupId,http://124.251.88.61:18082/group/obtainUserIdByGroupId,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_notExisting""}",yes,"""code"":""13003"""
39,群组-添加-名片推荐-成功,group/addRecommendGroup,http://124.251.88.61:18082/group/addRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""2"", ""recomReason"" : ""我想给你推荐一张群组"", ""toFeedId"" : ""c_336440+rnd"", ""recommendType"" : ""1"", ""fromFeedId"" : ""g_1829""}",yes,"""result"":""success"""
40,群组-添加-活动推荐-成功,group/addRecommendGroup,http://124.251.88.61:18082/group/addRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""0"", ""recomReason"" : """", ""toFeedId"" : ""c_336440+rnd"", ""recommendType"" : ""2"", ""fromFeedId"" : ""g_1829""}",yes,"""result"":""success"""
41,群组-添加-群组推荐-成功,group/addRecommendGroup,http://124.251.88.61:18082/group/addRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""1"", ""recomReason"" : """", ""toFeedId"" : ""c_336440+rnd"", ""recommendType"" : ""3"", ""fromFeedId"" : ""g_1829""}",yes,"""result"":""success"""
42,群组-添加-重复推荐-失败,group/addRecommendGroup,http://124.251.88.61:18082/group/addRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""1"", ""recomReason"" : """", ""toFeedId"" : ""c_336440"", ""recommendType"" : ""3"", ""fromFeedId"" : ""g_1828""}",yes,"""code"":""13008"""
43,群组-添加-审核未通过-成功,group/addRecommendGroup,http://124.251.88.61:18082/group/addRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""3"", ""recomReason"" : ""我想给你推荐一张群组"", ""toFeedId"" : ""c_336440"", ""recommendType"" : ""1"", ""fromFeedId"" : ""g_1829""}",yes,"""result"":""success"""
44,群组-添加-无效id-失败,group/addRecommendGroup,http://124.251.88.61:18082/group/addRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""2"", ""recomReason"" : """", ""toFeedId"" : ""c_n336440"", ""recommendType"" : ""3"", ""fromFeedId"" : ""g_n1830""}",yes,"""code"":""13003"""
45,群组-更新-推荐-成功,group/updateRecommendGroup,http://124.251.88.61:18082/group/updateRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""0"", ""relationId"" : ""77"", ""recomReason"" : ""更新群组测试""}",yes,"""result"":""success"""
46,群组-更新-无推荐原因-成功,group/updateRecommendGroup,http://124.251.88.61:18082/group/updateRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""1"", ""relationId"" : ""77""}",yes,"""result"":""success"""
47,群组-更新-无推荐原因-成功,group/updateRecommendGroup,http://124.251.88.61:18082/group/updateRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""1"", ""relationId"" : ""77""}",yes,"""result"":""success"""
48,群组-更新-审核通过-成功,group/updateRecommendGroup,http://124.251.88.61:18082/group/updateRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""2"", ""relationId"" : ""77"", ""recomReason"" : ""Let me check it out""}",yes,"""result"":""success"""
49,群组-更新-审核未通过-成功,group/updateRecommendGroup,http://124.251.88.61:18082/group/updateRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""status"" : ""3"", ""relationId"" : ""77"", ""recomReason"" : ""Let me check it out""}",yes,"""result"":""success"""
50,群组-删除-关系id-成功,group/deleteRecommendGroup,http://124.251.88.61:18082/group/deleteRecommendGroup,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""relationId"" : ""69""}",yes,"""result"":""success"""
51,群组-获取-推荐列表-成功,group/getRecommendGroupList,http://124.251.88.61:18082/group/getRecommendGroupList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""recommendType"" : ""3"", ""status"" : ""2"", ""toFeedId"" : ""g_1916""}",yes,"""result"":""success"""
52,群组-获取-待审核推荐列表-成功,activity/obtainMemberFeedList,http://172.28.6.111:8080/activity/obtainMemberFeedList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""recommendType"" : ""3"", ""status"" : ""1"", ""toFeedId"" : ""g_1916""}",yes,"""result"":""success"""
53,群组-获取他人公告-无公告-成功,group/obtainGroupAfficheList,http://124.251.88.61:18082/group/obtainGroupAfficheList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_1995""}",yes,"""result"":""success"""
54,群组-获取本地-无公告-成功,group/obtainGroupAfficheList,http://124.251.88.61:18082/group/obtainGroupAfficheList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_2003""}",yes,"""result"":""success"""
55,群组-获取本地-包含公共-成功,group/obtainGroupAfficheList,http://124.251.88.61:18082/group/obtainGroupAfficheList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_2002""}",yes,"""result"":""success"""
56,群组-获取他人本地-包含公共-成功,group/obtainGroupAfficheList,http://124.251.88.61:18082/group/obtainGroupAfficheList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_1022""}",yes,"""result"":""success"""
57,群组-添加公告-他人-成功,group/addGroupAfficheList,http://124.251.88.61:18082/group/addGroupAfficheList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""content"" : ""内容"", ""title"" : ""添加公告"", ""feedId"" : ""g_1022""}",yes,"""result"":""success"""
58,群组-添加公告-本地-成功,group/addGroupAfficheList,http://124.251.88.61:18082/group/addGroupAfficheList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""content"" : ""内容"", ""title"" : ""添加公告"", ""feedId"" : ""g_2002""}",yes,"""result"":""success"""
59,群组-获取人数-一组-成功,group/getGroupUserListCounts,http://124.251.88.61:18082/group/getGroupUserListCounts,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedIdList"" : [""g_2002""]}",yes,"""result"":""success"""
60,群组-获取人数-两组-成功,group/getGroupUserListCounts,http://124.251.88.61:18082/group/getGroupUserListCounts,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedIdList"" : [""g_2002"", ""g_1992""]}",yes,"""result"":""success"""
61,群组-获取人数-三组-成功,group/getGroupUserListCounts,http://124.251.88.61:18082/group/getGroupUserListCounts,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedIdList"" : [""g_2002"", ""g_1992"", ""g_1002""]}",yes,"""result"":""success"""
62,群组-获取人数-四组-成功,group/getGroupUserListCounts,http://124.251.88.61:18082/group/getGroupUserListCounts,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedIdList"" : [""g_2002"", ""g_1992"", ""g_1002"", ""g_1003""]}",yes,"""result"":""success"""
63,群组-获取人数-五组-成功,group/getGroupUserListCounts,http://124.251.88.61:18082/group/getGroupUserListCounts,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedIdList"" : [""g_2002"", ""g_1992"", ""g_1002"", ""g_1003"", ""g_1004""]}",yes,"""result"":""success"""
64,群组-获取人数-不存在id-结果为0,group/getGroupUserListCounts,http://124.251.88.61:18082/group/getGroupUserListCounts,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedIdList"" : [""g_22222002""]}",yes,"""userListCounts"":[""0""]"
65,群组-获取申请模式-开放模式-成功,group/obtainGroupEnrollType,http://124.251.88.61:18082/group/obtainGroupEnrollType,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_2079""}",yes,"""result"":""success"""
66,群组-获取申请模式-申请模式-成功,group/obtainGroupEnrollType,http://124.251.88.61:18082/group/obtainGroupEnrollType,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_2002""}",yes,"""result"":""success"""
67,群组-获取申请模式-无效id-成功,group/obtainGroupEnrollType,http://124.251.88.61:18082/group/obtainGroupEnrollType,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3,15300136026,"{""feedId"" : ""g_1232132002""}",yes,"""code"":""13003"""
